Seq	Cruise	yyyy.mm.ddThh.mm.ss.sss	Date_mm.dd.yy	Latitude_degrees_north	Longitude_degrees_east	Bot_Depth_m	depth_m	depthbin	Pressure	CTD.S	CTD.T	Potemp090C	CTD.O2	Oxsatperc	CTD.fluo	Turbidity	sigma	percChl_a_10	Chl_a	Chl_a_AVG	Chl_a_10um	Chla10_AVG	Phaeop_AVG	Phaeop_SD	TOC_uM	TOC_ug	TN_uM	TON_uM	TON_ug	TOC.TON	NH4_uM	NO2_uM	NO3.NO2_uM	Total_inorgN_uM	PO4_uM	SiOH4_uM	POC_ug	sd_POC_ug	POC_uM	PON_ug	sd_PON_ug	PON_uM	POC.PON	DOC_uM	DOC_ug	DON_uM	DON_ug	DON.TN	DOC.DON	BP_ug	sd_BP	BR	BCD	Picophytoeukaryotes	Nanophytoplankton	Large_Nanphyto	Small_Nanophyto	Synechococcus	Phaeocystis	Cryptophytes	Dead_phyto	Bacteria	HNA_bacteria	Small_virus	Medium_virus	Large_virus	Total_virus	HNA.LNA_bacteria	smallVirus.Bacteria	HNF	Large_HNF	HNA_Bac_from_HNF_plot	LysoTrack_HNF	Humic_Fl_A_RU	Humic_FL_C_RU	Humic_Fl_M_RU	Aminoacid_Fl_T_RU	Fluorescence_Index	a255_m.1	a300_m.1	a351_m.1	a375_m.1	S300.650nm__um.1	R2_of_slope_fit_300.650	S275.295nm__um.1	S300.450nm__um.1	naut_tw_start	civil_tw_start	daylight_start	midnight_sun_start	mnsun_ends	daylight_ends	civil_tw_ends	naut_tw_ends	month	station
156	MP2	2014.03.16T22.42.00	09.03.14	80.856	15.083	3000	1000	meso	NA	34.91	-0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.2	638.4	15.7	2.3	NA	23.1	0	0	13.4	13.4	0.7577	4.3933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04	NA	0.58	0.62	5	0	NA	NA	3.505	NA	NA	83	59300	20100	565000	450000	93700	1110000	0.51	19	30.531	5.506	1204.705	NA	0.026061134	0.013969599	0.02138165	0.018166116	1.777640935	1.138856	0.35123	0.12093	0.070264	22.449383	0.99776	30.128921	21.978042	16.01	8.02	23.02	10.04	1.09	18.1	2.11	26.11	Mar	M06
157	MP2	2014.03.16T22.42.00	09.03.14	80.856	15.083	3000	475	meso	NA	34.9	2.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.8	381.6	13	0.5	NA	65.1	0	0.0117	12.5	12.5117	0.6671	3.7594	52.58412605	6.607874102	4.382	4.491540633	0.580570763	0.32	13.66	27.42	329.02	0.17	2.34	0.01	163.71	NA	NA	NA	NA	6	1	NA	NA	27.027	NA	NA	237	103000	35700	1020000	1110000	158000	2290000	0.53	22	66.567	13.013	2321.321	NA	0.023953827	0.010408169	0.017201559	0.016723708	1.795596048	1.187219	0.332806	0.088688	0.040325	22.100768	0.995757	32.876528	27.117067	NA	NA	NA	NA	NA	NA	NA	NA	Mar	M06
158	MP2	2014.03.16T22.42.00	09.03.14	80.856	15.083	3000	20	epi	NA	35.025	3.2	NA	NA	NA	NA	NA	NA	NA	0.02127	0.00189	NA	NA	0.045458407	0.004374401	54.1	649.2	16.5	6	NA	9.1	0	0.0086	10.52	10.524	0.7535	4.2172	56.61984121	2.262976196	4.718	5.636206418	1.360420445	0.4	11.72	49.38	592.58	5.57	78.03	0.34	8.86	0.03	0.03	0.43	0.46	7	2	NA	NA	31.532	NA	NA	149	124000	38300	1580000	1250000	207000	3030000	0.45	25	69.639	12.024	2904.309	NA	0.022733093	0.010602441	0.018454022	0.016473434	1.552468601	1.267418	0.383066	0.115918	0.058343	22.006749	0.996872	31.825075	29.207461	NA	NA	NA	NA	NA	NA	NA	NA	Mar	M06
159	MP2	2014.03.16T22.42.00	09.03.14	80.856	15.083	3000	5	epi	NA	34.4	-1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51	612	16.2	8.5	NA	6	0	0.0226	7.63	7.6572	0.6337	2.055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	0	NA	NA	17.017	NA	NA	94	89600	29700	672000	900000	120000	1690000	0.5	19	68.102	15.523	2109.164	NA	0.02149519	0.010075987	0.018243297	0.019146296	1.716679833	1.38311	0.510273	0.125672	0.063491	27.228025	0.997865	25.973442	36.671961	NA	NA	NA	NA	NA	NA	NA	NA	Mar	M06
255	MP3	2014.05.18T23.16.00	18.05.14	79.975	10.709	376	365	meso	369.31	35.1	2.3	2.27	5.99	7.57	0.44	0.19	28.03	NA	0.821	NA	0.435	NA	NA	NA	70.1	841.2	13.4	4.1	56.7	17.3	0.05	NA	9.3	9.35	0.7	4.4	78.05	16.75	6.5	11.67	0.8	0.83	7.81	63.6	763.15	3.22	45.03	0.24	19.77	NA	NA	NA	NA	3419.679	528.112	46.185	481.927	1347.39	431.727	12.048	NA	542000	108000	1100000	219000	177000	1490000	0.25	2.03	40.161	30.12	12363.454	NA	0.023542472	0.010603062	0.019178756	0.026847418	1.600162977	1.436395	1.130096	0.125988	0.093746	NA	0.952088	0.518071	19.683984	10.01	5.02	20.02	14.04	29.08	21.1	5.11	2.12	May	P01
256	MP3	2014.05.18T23.16.00	18.05.14	79.975	10.709	376	200	meso	201.05	35.13	3	2.99	5.82	7.44	0.21	0.09	27.98	NA	0.236	NA	0.066	NA	NA	NA	63.1	757.2	14.2	4	56.6	15.6	0.06	NA	10.1	10.16	0.7	4.8	41.76	2.58	3.48	7.25	0.53	0.52	6.72	59.62	715.44	3.52	49.31	0.25	16.93	0.11	0.03	1.02	1.13	3583.501	251.509	20.121	231.388	372.233	146.881	6.036	NA	304000	38100	737000	204000	125000	1070000	0.14	2.42	34.696	10.023	5842.714	NA	0.024943119	0.011483593	0.023928609	0.040398988	1.621164517	1.379181	0.907066	0.117137	0.091804	NA	0.95912	4.978481	17.788875	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
257	MP3	2014.05.18T23.16.00	18.05.14	79.975	10.709	376	100	epi	102.45	35.11	3.05	3.05	5.75	7.43	0.12	0.06	27.97	NA	0.6	NA	0.031	NA	NA	NA	79.1	949.2	13	2.8	39.2	28.3	NA	NA	10.2	10.2	0.8	4.3	49.81	4.5	4.15	8.48	1.31	0.61	6.85	74.95	899.39	2.19	30.72	0.17	34.16	0.06	0.03	0.75	0.82	1124.748	146.881	12.072	134.809	108.652	42.254	6.036	NA	209000	28500	516000	278000	142000	936000	0.16	2.47	48.574	6.939	3916.731	NA	0.023153543	0.010645064	0.020633649	0.032404522	1.608034962	1.533663	1.890628	0.115015	0.08047	NA	0.975858	-8.600186	21.688933	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
258	MP3	2014.05.18T23.16.00	18.05.14	79.975	10.709	376	75	epi	75.76	35.08	2.9	2.89	5.81	7.46	0.18	0.09	27.96	NA	0.323	NA	0.193	NA	NA	NA	57.4	688.8	16.4	6.2	86.8	9.3	0	NA	10.2	10.2	0.7	4.5	34.47	4.14	2.87	4.47	1.56	0.32	8.99	54.53	654.33	5.88	82.33	0.36	9.27	0.08	0.08	0.85	0.93	1273.642	334.004	94.567	239.437	171.026	189.135	10.06	NA	217000	34000	613000	295000	96900	1000000	0.19	2.82	55.513	16.191	4757.903	NA	0.023325763	0.010610577	0.019124356	0.023041829	1.589750893	1.255812	0.534973	0.106615	0.078979	NA	0.983719	17.582975	18.859892	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
259	MP3	2014.05.19T00.35.00	18.05.14	79.973	10.694	379	50	epi	50.2	35.07	2.87	2.86	5.85	7.47	0.48	0.1	27.95	NA	1.126	NA	0.376	NA	NA	NA	140.1	1681.2	14	4.1	57.3	34.3	0.01	NA	9.9	9.91	0.8	4.2	57.82	5.48	4.82	10.02	0.52	0.72	6.73	135.28	1623.38	3.37	47.24	0.24	40.09	0.13	0.03	1.14	1.27	2052.314	329.98	66.398	263.582	126.761	130.785	12.072	NA	283000	44500	625000	196000	142000	963000	0.19	2.21	38.551	23.13	5786.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
260	MP3	2014.05.19T00.35.00	18.05.14	79.973	10.694	379	40	epi	39.62	35.07	2.92	2.92	5.85	7.46	0.51	0.1	27.95	NA	0.118	NA	0.8	NA	NA	NA	52.7	632.4	14.5	4.8	67.3	11	0.09	NA	9.6	9.69	0.7	4	38.97	4.59	3.25	6.63	0.7	0.47	6.86	49.45	593.43	4.34	60.71	0.3	11.4	0.26	0.12	1.71	1.97	2660.643	542.169	112.45	429.719	132.53	182.731	22.088	NA	331000	55400	645000	263000	119000	1030000	0.2	1.95	58.597	16.962	6842.714	NA	0.022968766	0.011127942	0.01945749	0.029199104	1.649762774	1.282139	0.724813	0.105306	0.073064	NA	0.96369	8.794119	19.698729	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
261	MP3	2014.05.19T00.35.00	18.05.14	79.973	10.694	379	30	epi	29.47	35	2.52	2.52	6.07	7.54	2.69	0.18	27.93	NA	3.881	NA	2.674	NA	NA	NA	71.4	856.8	11.4	1.8	25.8	38.8	0.46	NA	9.1	9.56	0.7	3	164.23	25.75	13.69	25.33	0.36	1.81	7.57	57.71	692.57	0.03	0.43	0	1866.87	0.18	0.03	1.38	1.56	4498.994	1953.722	366.197	1587.525	130.785	1110.664	10.06	NA	537000	109000	1450000	356000	219000	2030000	0.25	2.7	70.162	167.309	9457.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
262	MP3	2014.05.19T00.35.00	18.05.14	79.973	10.694	379	20	epi	19.15	34.89	2.07	2.07	6.37	7.63	4.17	0.28	27.87	NA	6.861	NA	5.207	NA	NA	NA	80.8	969.6	11.8	4.3	59.5	19	0.25	NA	7.3	7.55	0.5	2.1	235.4	17.26	19.62	44.31	4.04	3.17	6.2	61.18	734.2	1.08	15.19	0.09	56.39	1.08	0.1	3.85	4.92	4779.116	3497.992	584.337	2913.655	154.618	2592.369	10.04	NA	823000	232000	2220000	188000	255000	2660000	0.39	2.7	95.679	135.031	16960.648	NA	0.023212813	0.010536925	0.018852978	0.027083859	1.615691387	1.380265	1.120026	0.106706	0.07907	NA	0.96395	-0.353271	19.698187	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
263	MP3	2014.05.19T00.35.00	18.05.14	79.973	10.694	379	10	epi	11.1	34.82	1.87	1.87	6.6	7.67	9.6	0.3	27.84	NA	8.339	NA	7.253	NA	NA	NA	69.3	831.6	11.9	5.3	73.5	13.2	0.15	NA	6.5	6.65	0.5	2	274.28	7.99	22.86	51.32	4.04	3.67	6.24	46.44	557.32	1.58	22.18	0.13	29.31	1.18	0.07	4.07	5.25	4947.791	4295.181	686.747	3608.434	136.546	3373.494	18.072	NA	852000	248000	2190000	202000	269000	2660000	0.41	2.57	67.078	114.109	16635.312	NA	0.021349571	0.010106212	0.0180493	0.022790244	1.576215049	1.283945	0.669044	0.102506	0.070264	NA	0.970199	11.318274	19.559901	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
264	MP3	2014.05.19T00.35.00	18.05.14	79.973	10.694	379	5	epi	5.51	34.68	1.43	1.43	6.65	7.77	7.02	0.39	27.76	NA	11.318	NA	6.807	NA	NA	NA	118.3	1419.6	12	6.4	89.7	18.5	0.09	NA	5.5	5.59	0.4	1.8	353.79	17.05	29.48	66.19	2.78	4.73	6.24	88.82	1065.81	1.68	23.55	0.14	52.8	1.11	0.01	3.92	5.03	5303.823	5136.821	867.203	4269.618	162.978	4293.763	64.386	NA	803000	250000	2570000	171000	294000	3030000	0.45	3.2	83.462	412.674	20012.365	NA	0.022924154	0.010170283	0.017537827	0.024554958000000002	1.64105912	1.289951	0.645111	0.115421	0.083179	NA	0.969825	12.814954	19.707798	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
265	MP3	2014.05.19T00.35.00	18.05.14	79.973	10.694	379	1	epi	1.92	34.52	1.01	1.01	6.71	7.86	5.04	0.49	27.66	NA	11.561	NA	6.77	NA	NA	NA	93.9	1126.8	10.5	5.7	80.2	16.4	0.07	NA	4.7	4.77	0.4	1.9	389.04	33.88	32.42	75.35	8.33	5.38	6.02	61.48	737.76	0.35	4.87	0.03	176.61	1.29	0.08	4.28	5.58	5676.707	4303.213	961.847	3341.366	144.578	3423.695	58.233	NA	746000	253000	3130000	149000	292000	3580000	0.51	4.2	80.123	448.382	20608.629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	May	P01
278	MP3	2014.05.23T06.38.00	23.05.14	79.718	9.457	386	375	meso	379.17	35.11	2.37	2.34	5.91	7.56	0.15	0.21	28.03	NA	0.268	NA	0.107	NA	NA	NA	56	672	14.3	3.9	54.6	14.4	0.59	NA	9.81	10.4	0.69	4.52	40.64	1.65	3.39	6.5	1.88	0.46	7.29	52.61	631.36	3.44	48.1	0.24	15.31	NA	NA	NA	NA	3412.475	175.05	8.048	167.002	44.266	44.266	12.072	NA	408000	43900	486000	168000	64500	719000	0.12	1.19	68.136	3.006	7172.345	NA	0.019082999	0.010312297	0.018953702	0.023262629	1.665888789	1.353306	0.777556	0.070535	0.047505	NA	0.974304	6.990137	33.772299	8.01	4.02	20.02	14.04	28.08	21.1	5.11	4.12	May	P03
279	MP3	2014.05.23T06.38.00	23.05.14	79.718	9.457	386	200	meso	201.56	35.11	2.96	2.95	5.76	7.45	0.1	0.07	27.98	NA	0.134	NA	0.062	NA	NA	NA	66.9	802.8	15.3	4.3	59.9	15.6	0.18	NA	10.84	11.02	0.78	4.7	26.96	2.66	2.25	4.47	0.26	0.32	7.04	64.65	775.84	3.96	55.45	0.26	16.32	0.07	0.02	0.76	0.83	454.728	142.857	30.181	112.676	26.157	24.145	6.036	NA	196000	22900	1580000	148000	206000	1940000	0.13	8.09	69.385	10.014	3867.668	NA	0.018902787	0.009893743	0.018477437	0.025548955	1.837720127	1.211875	0.592368	0.076496	0.051163	NA	0.976927	11.917062	27.658028	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
280	MP3	2014.05.23T06.38.00	23.05.14	79.718	9.457	386	100	epi	102.97	35.11	3.16	3.15	5.78	7.41	0.14	0.08	27.96	NA	0.307	NA	0.165	NA	NA	NA	60.6	727.2	14.3	3.8	53.8	15.8	NA	NA	10.46	10.46	0.76	4.47	73.85	6.66	6.15	11.22	1.5	0.8	7.68	54.45	653.35	3.04	42.54	0.21	17.92	0.05	0.04	0.68	0.74	1118.474	248.996	36.145	212.851	76.305	86.345	4.016	NA	255000	24400	412000	407000	48100	866000	0.11	1.61	71.531	11.445	3633.763	NA	0.016741579	0.00888784	0.01609023	0.018783416	1.616690099	1.252787	0.898125	0.087469	0.069045	87.362773	0.971321	1.528973	17.656056	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
281	MP3	2014.05.23T06.38.00	23.05.14	79.718	9.457	386	75	epi	75.67	35.11	3.17	3.16	5.81	7.41	0.82	0.11	27.96	NA	1.342	NA	1.071	NA	NA	NA	80.8	969.6	14.6	4.2	58.7	19.3	0.24	NA	10.17	10.41	0.74	4.4	36.9	5.95	3.07	5.77	1.71	0.41	7.46	77.73	932.7	3.78	52.89	0.26	20.57	0.06	0.03	0.71	0.77	2173.038	649.899	185.111	464.788	62.374	72.435	16.097	NA	332000	33300	436000	448000	58900	943000	0.11	1.31	76.538	10.014	4894.85	NA	0.018070001	0.009781447	0.01740066	0.017227888	1.735975567	1.194083	0.445608	0.077128	0.047189	NA	0.98947	20.028823	28.550762	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
282	MP3	2014.05.23T09.11.00	23.05.14	79.728	9.346	402	50	epi	49.81	35.1	3.18	3.18	5.77	7.41	0.56	0.12	27.95	NA	1.5	NA	1.101	NA	NA	NA	56.2	674.4	14.1	3.6	50.5	15.6	0.64	NA	9.85	10.49	0.72	4	220.86	11.58	18.41	38.56	0.76	2.75	6.68	37.79	453.54	0.86	11.98	0.06	44.16	0.12	0.09	1.06	1.17	2096.386	907.631	347.39	560.241	50.201	220.884	8.032	NA	347000	35900	518000	353000	65900	937000	0.12	1.49	97.45	17.304	5590.164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
283	MP3	2014.05.23T09.11.00	23.05.14	79.728	9.346	402	40	epi	40.12	35.06	2.92	2.92	6.03	7.46	2.64	0.24	27.94	NA	7.318	NA	5.021	NA	NA	NA	123.8	1485.6	14.4	5.6	78.5	22.1	NA	NA	8.79	8.79	0.65	2.78	61.25	2.34	5.1	9.17	0.65	0.65	7.79	118.7	1424.35	4.96	69.37	0.34	23.95	0.18	0.05	1.35	1.53	3811.245	2913.655	901.606	2012.049	94.378	909.639	6.024	NA	702000	115000	965000	347000	137000	1450000	0.2	1.37	145.923	42.203	9837.625	NA	0.020805373	0.010777853	0.018336953	0.02108979	1.74927719	1.202663	0.435764	0.090314	0.058072	34.134783	0.992724	22.054755	21.947336	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
284	MP3	2014.05.23T09.11.00	23.05.14	79.728	9.346	402	30	epi	31.16	34.97	2.52	2.51	6.42	7.54	5.47	0.37	27.91	NA	6.923	NA	5.059	NA	NA	NA	77.5	930	11.6	3.5	48.3	22.5	0.65	NA	7.5	8.15	0.61	1.59	244.03	21.32	20.34	44.83	4.64	3.2	6.35	57.16	685.97	0.25	3.47	0.02	230.34	0.26	0.03	1.7	1.97	4805.221	5469.88	905.622	4564.258	82.329	2837.349	22.088	NA	928000	179000	2000000	71500	318000	2390000	0.24	2.16	189.522	244.992	14392.142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
285	MP3	2014.05.23T09.11.00	23.05.14	79.728	9.346	402	20	epi	19.92	34.51	0.9	0.89	7.05	7.88	9.27	0.43	27.66	NA	11.228	NA	7.171	NA	NA	NA	107.9	1294.8	10.2	5.2	73.2	20.6	0.37	NA	4.6	4.97	0.41	1.15	425.16	19.48	35.43	80.19	4.17	5.73	6.19	72.47	869.64	-0.5	NA	-0.05	-145.6	0.68	0.12	2.94	3.62	5500	7214.859	795.181	6419.678	142.57	5500	28.112	NA	1260000	354000	3520000	76900	652000	4250000	0.39	2.8	261.171	1335.131	28024.653	NA	0.017527981	0.008772718	0.015701182	0.013982572	1.712691303	1.279068	0.59738	0.109144	0.079205	NA	0.976894	14.35709	19.617284	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
286	MP3	2014.05.23T09.11.00	23.05.14	79.728	9.346	402	10	epi	10.52	34.16	-0.19	-0.19	7.43	8.13	14.12	0.56	27.44	NA	14.492	NA	9.924	NA	NA	NA	124.5	1494	8.1	7	97.3	17.9	0.37	NA	0.78	1.15	0.12	0.94	878.39	455.68	73.2	166.62	105.72	11.9	6.15	51.3	615.61	-4.95	NA	-0.61	-10.36	0.73	0.1	3.07	3.8	5579.477	7090.543	991.952	6098.591	162.978	5655.936	40.241	NA	1440000	518000	4540000	129000	639000	5300000	0.56	3.14	263.279	1358.737	43740.57	NA	0.018269908	0.009295097	0.016074975	0.018301608	1.692779836	1.174304	0.432738	0.082682	0.045834	NA	0.988646	21.602364	28.145032	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
287	MP3	2014.05.23T09.11.00	23.05.14	79.728	9.346	402	5	epi	4.93	34.17	-0.17	-0.17	7.39	8.13	13.48	0.58	27.45	NA	14.343	NA	8.897	NA	NA	NA	105.5	1266	9.5	8.5	118.9	12.4	0.22	NA	0.79	1.01	0.08	0.88	607.51	20.23	50.63	104.56	3.78	7.47	6.78	54.87	658.49	1.02	14.3	0.11	53.72	1.38	0.02	4.44	5.82	5138.554	7134.538	1018.072	6116.466	204.819	6259.036	66.265	NA	1460000	489000	3750000	123000	610000	4490000	0.5	2.57	316.397	1440.339	37160.123	NA	0.019320526	0.009768261	0.016643055	0.017931822	1.812692321	1.14852	0.360894	0.070716	0.038474	NA	0.989152	26.678672	35.602132	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
288	MP3	2014.05.23T09.11.00	23.05.14	79.728	9.346	402	1	epi	2.45	34.07	-0.34	-0.34	7.54	8.17	4.53	0.54	27.37	NA	13.46	NA	8.139	NA	NA	NA	95.9	1150.8	8.2	7.3	102.5	13.1	0.17	NA	0.71	0.88	0.06	0.86	627.07	5.43	52.26	103.17	1.93	7.37	7.09	43.64	523.73	-0.05	NA	-0.01	-880.57	1.2	0.04	4.11	5.31	5943.662	8265.594	945.674	7319.92	185.111	7265.594	28.169	NA	1480000	545000	3920000	154000	746000	4820000	0.58	2.65	299.461	1708.237	44031.563	NA	0.017026599	0.009027522	0.015961785	0.022872132	1.77384037	1.140572	0.332219	0.078889	0.058162	NA	0.989078	30.097743	22.430798	NA	NA	NA	NA	NA	NA	NA	NA	May	P03
289	MP3	2014.05.25T07.06.00	24.05.14	79.771	6.27	1032	1000	meso	1013.81	34.93	-0.81	-0.85	5.42	8.23	0.04	0.16	28.09	NA	0.012	NA	0.006	NA	NA	NA	56.1	673.2	18	3.9	54	14.5	0.23	NA	13.91	14.14	1.06	10.78	29.66	0.53	2.47	3.71	1.28	0.26	9.33	53.63	643.54	3.6	50.33	0.2	14.92	NA	NA	NA	NA	60.12	10.02	2.004	8.016	0	18.036	6.012	NA	48700	10900	209000	147000	46900	403000	0.29	4.3	22.342	3.082	1161.017	NA	0.022888733	0.01373619	0.019460155	0.016861102	1.807789001	1.069856	0.44344	0.054233	0.017385	NA	0.981155	17.096599	26.398509	8.01	4.02	20.02	14.04	28.08	21.1	5.11	4.12	May	P04
290	MP3	2014.05.25T07.06.00	24.05.14	79.771	6.27	1032	750	meso	759.49	34.95	0.16	0.13	5.63	8.01	0.04	0.07	28.06	NA	0.009	NA	0.005	NA	NA	NA	69.3	831.6	16.4	3.1	42.7	22.7	0.19	NA	13.16	13.35	1.01	6.81	27.35	3.94	2.28	3.1	1.04	0.22	10.3	67.02	804.25	2.83	39.6	0.17	23.69	NA	NA	NA	NA	58.116	18.036	6.012	12.024	8.016	14.028	4.008	NA	73800	11500	505000	157000	37900	700000	0.19	6.85	18.49	3.852	1970.724	NA	0.020932085	0.012064044	0.018656911	0.02039989	1.776482397	1.117903	0.397064	0.10228	0.044705	27.994423	0.992747	24.217095	26.789938	NA	NA	NA	NA	NA	NA	NA	NA	May	P04
291	MP3	2014.05.25T07.06.00	24.05.14	79.771	6.27	1032	500	meso	506.27	35.09	2.7	2.67	5.73	7.5	0.05	0.06	27.99	NA	0.037	NA	0.014	NA	NA	NA	72.8	873.6	15	3.9	54.2	18.8	0.16	NA	10.97	11.13	0.83	4.28	35.36	0.54	2.95	5.19	0.26	0.37	7.96	69.85	838.24	3.5	48.99	0.23	19.96	NA	NA	NA	NA	242.485	66.132	NA	66.132	22.044	26.052	0	NA	137000	21900	716000	224000	119000	1060000	0.19	5.21	41.603	6.163	3500	NA	0.018455386	0.010083861	0.017141286	0.014722266	1.762716366	1.175569	0.360307	0.095462	0.044796	25.832889	0.995505	29.139127	31.917584	NA	NA	NA	NA	NA	NA	NA	NA	May	P04
292	MP3	2014.05.25T07.06.00	24.05.14	79.771	6.27	1032	200	meso	202.82	35.13	3.31	3.29	5.72	7.38	0.23	0.09	27.96	NA	0.511	NA	0.242	NA	NA	NA	75.1	901.2	16.7	6.1	84.8	12.4	0.02	NA	10.62	10.64	0.76	3.85	58.64	8.21	4.89	6.74	1.11	0.48	10.14	70.21	842.56	5.58	78.1	0.33	12.59	0.09	0.11	0.91	1	392.786	484.97	240.481	244.489	50.1	70.14	6.012	NA	215000	26200	807000	305000	70100	1180000	0.14	3.76	80.123	14.638	3520.801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	May	P04
293	MP3	2014.05.25T10.48.00	24.05.14	79.78	6.171	1048	100	epi	101.59	35.13	3.49	3.49	5.7	7.35	0.44	0.09	27.94	NA	0.469	NA	0.296	NA	NA	NA	61	732	16	3.9	55.2	15.5	NA	NA	12.06	12.06	0.7	2.65	59.92	5.2	4.99	6.59	1.54	0.47	10.61	56.01	672.08	3.47	48.57	0.22	16.14	0.02	0.03	0.39	0.41	274.549	595.19	252.505	342.685	70.14	64.128	2.004	NA	273000	34600	825000	361000	172000	1360000	0.15	3.03	122.496	16.949	4511.556	NA	0.016706735	0.008889468	0.016266494	0.017193212	1.792119963	1.212417	0.45473	0.090856	0.042493	NA	0.985922	21.737933	29.777287	NA	NA	NA	NA	NA	NA	NA	NA	May	P04
294	MP3	2014.05.25T10.48.00	24.05.14	79.78	6.171	1048	75	epi	76.04	35.13	3.5	3.5	5.69	7.35	0.8	0.1	27.94	NA	0.536	NA	0.424	NA	NA	NA	56.8	681.6	14.9	2.8	38.5	20.7	0.17	NA	11.98	12.15	0.76	NA	49.66	3.73	4.14	6.74	1.23	0.48	8.59	52.66	631.94	2.27	31.76	0.15	23.21	0.07	0.09	0.79	0.86	358.717	705.411	332.665	372.746	100.2	108.216	4.008	NA	288000	37200	820000	333000	150000	1300000	0.15	2.85	103.236	13.867	5013.867	NA	0.015263121	0.008124994	0.015429923	0.014324128	1.648101359	1.218332	0.525129	0.085256	0.036893	NA	0.980346	16.535967	36.7185	NA	NA	NA	NA	NA	NA	NA	NA	May	P04
295	MP3	2014.05.25T10.48.00	24.05.14	79.78	6.171	1048	50	epi	50.93	35.12	3.51	3.5	5.68	7.35	0.84	0.1	27.93	NA	1.032	NA	0.643	NA	NA	NA	50.7	608.4	15.9	3.4	47.2	15	0.02	NA	12.51	12.53	0.76	2.27	72.84	7.18	6.07	8.65	1.44	0.62	9.82	44.63	535.56	2.75	38.53	0.17	16.22	0.16	0.06	1.27	1.42	531.062	1196.393	384.77	811.623	72.144	230.461	8.016	NA	352000	52000	983000	72300	170000	1230000	0.17	2.8	128.659	18.49	6043.143	NA	0.016019545	0.008459242	0.015271231	0.013334732	1.795101971	1.172092	0.35683	0.087379	0.041319	29.14189	0.992217	27.687283	40.075653	NA	NA	NA	NA	NA	NA	NA	NA	May	P04
296	MP3	2014.05.25T10.48.00	24.05.14	79.78	6.171	1048	40	epi	40.05	35.11	3.48	3.47	5.66	7.35	1.97	0.14	27.93	NA	2.306	NA	1.722	NA	NA	NA	110.6	1327.2	12.4	0.6	8.1	190.7	0.13	NA	11.69	11.82	0.7	NA	119.79	5.19	9.98	16.43	2.52	1.17	8.51	100.62	1207.41	-0.59	NA	-0.05	-169.55	0.21	0.07	1.49	1.7	1020.04	1915.832	561.122	1354.71	94.188	426.854	8.016	NA	481000	82900	1220000	113000	184000	1520000	0.21	2.54	181.047	65.485	9329.738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	May	P04
