new_sample_name	old_sample_name
May_P03_0447_3_10_ni_hi	MP3_NP_59.V4Lf_bc6.V4LrZ_bcr7.V4
May_P03_0447_10_50_ni_hi	MP3_MI_41.V4Lf_bc7.V4LrZ_bcr6.V4
May_P03_0447_50_200_ni_hi	MP3_MI_39.V4Lf_bc8.V4LrZ_bcr8.V4
May_P04_0001_0.4_3_ni_hi	MP3_NP_118.V4Lf_bc9.V4LrZ_bcr9.V4
May_P04_0001_3_10_ni_hi	MP3_NP_114.V4Lf_bc10.V4LrZ_bcr10.V4
May_P04_0001_10_50_ni_hi	MP3_MI_65.V4Lf_bc11.V4LrZ_bcr10.V4
May_P04_0001_50_200_ni_hi	MP3_MI_63.V4Lf_bc12.V4LrZ_bcr12.V4
May_P04_0015_0.4_3_ni_hi	MP3_NP_71.V4Lf_bc13.V4LrZ_bcr13.V4
May_P04_0015_3_10_ni_hi	MP3_NP_67.V4Lf_bc14.V4LrZ_bcr14.V4
May_P04_0015_10_50_ni_hi	MP3_MI_69.V4Lf_bc15.V4LrZ_bcr15.V4
May_P04_0015_50_200_ni_hi	MP3_MI_67.V4Lf_bc16.V4LrZ_bcr16.V4
May_P04_0015_10_50_nh_hi	MP3_MI_75.V4Lf_bc4.V4LrZ_bcr4.V4
May_P04_0015_50_200_nh_hi	MP3_MI_73.V4Lf_bc18.V4LrZ_bcr18.V4
May_P04_0500_0.4_3_ni_hi	MP3_NP_111.V4Lf_bc19.V4LrZ_bcr19.V4
May_P04_0500_3_10_ni_hi	MP3_NP_107.V4Lf_bc20.V4LrZ_bcr20.V4
May_P04_0500_10_50_ni_hi	MP3_MI_59.V4Lf_bc1.V4LrZ_bcr1.V4
May_P04_0500_50_200_ni_hi	MP3_MI_57.V4Lf_bc2.V4LrZ_bcr2.V4
May_P04_1000_0.4_3_ni_hi	MP3_NP_103.V4Lf_bc3.V4LrZ_bcr3.V4
May_P04_1000_3_10_ni_hi	MP3_NP_99.V4Lf_bc4.V4LrZ_bcr4.V4
May_P04_1000_10_50_ni_hi	MP3_MI_55.V4Lf_bc5.V4LrZ_bcr5.V4
May_P04_1000_50_200_ni_hi	MP3_MI_53.V4Lf_bc6.V4LrZ_bcr7.V4
Aug_P05_0001_0.4_3_ni_hi	MP4_NP_6.V4Lf_bc1.V4LrZ_bcr1.V4
Aug_P05_0001_3_10_ni_hi	MP4_NP_2.V4Lf_bc2.V4LrZ_bcr2.V4
Aug_P05_0001_10_50_ni_hi	MP4_MI_5.V4Lf_bc3.V4LrZ_bcr3.V4
Aug_P05_0001_50_200_ni_hi	MP4_MI_3.V4Lf_bc4.V4LrZ_bcr4.V4
Aug_P05_0020_0.4_3_ni_hi	MP4_NP_16.V4Lf_bc5.V4LrZ_bcr5.V4
Aug_P05_0020_3_10_ni_hi	MP4_MI_10b.V4Lf_bc6.V4LrZ_bcr7.V4
Aug_P05_0020_10_50_ni_hi	MP4_MI_12.V4Lf_bc7.V4LrZ_bcr6.V4
Aug_P05_0020_50_200_ni_hi	MP4_MI_10a.V4Lf_bc8.V4LrZ_bcr8.V4
Aug_P05_0020_10_50_nh_hi	MP4_MI_24.V4Lf_bc9.V4LrZ_bcr9.V4
Aug_P05_0020_50_200_nh_hi	MP4_MI_22.V4Lf_bc10.V4LrZ_bcr11.V4
Aug_P05_0213_0.4_3_ni_hi	MP4_NP_24.V4Lf_bc11.V4LrZ_bcr10.V4
Aug_P05_0213_3_10_ni_hi	MP4_NP_18.V4Lf_bc12.V4LrZ_bcr12.V4
Aug_P05_0213_10_50_ni_hi	MP4_MI_18.V4Lf_bc13.V4LrZ_bcr13.V4
Aug_P05_0213_50_200_ni_hi	MP4_MI_16.V4Lf_bc14.V4LrZ_bcr14.V4
Aug_P06_0001_0.4_3_ni_hi	MP4_NP_30.V4Lf_bc15.V4LrZ_bcr15.V4
Aug_P06_0001_3_10_ni_hi	MP4_NP_26.V4Lf_bc16.V4LrZ_bcr16.V4
Aug_P06_0001_10_50_ni_hi	MP4_MI_30.V4Lf_bc5.V4LrZ_bcr5.V4
Aug_P06_0001_50_200_ni_hi	MP4_MI_28.V4Lf_bc18.V4LrZ_bcr18.V4
Aug_P06_0024_0.4_3_ni_hi	MP4_NP_38.V4Lf_bc19.V4LrZ_bcr19.V4
Aug_P06_0024_3_10_ni_hi	MP4_NP_34.V4Lf_bc20.V4LrZ_bcr20.V4
Aug_P06_0024_10_50_ni_hi	MP4_MI_36.V4Lf_bc1.V4LrZ_bcr1.V4
