SampleID	Description
MP5_NP_10	"MP5_MP5.2_20_0.4.3"
MP5_NP_7	"MP5_MP5.2_20_3.10"
MP5_MI_12	"MP5_MP5.2_20_10.50"
MP5_MI_11sum	"MP5_MP5.2_20_50.200"
MP5_MI_6	"MP5_MP5.2_net_10.50"
MP5_MI_5	"MP5_MP5.2_net_50.200"
MP5_NP_35sum	"MP5_MP5.3_20_0.4.3"
MP5_NP_29	"MP5_MP5.3_20_3.10"
MP5_MI_30	"MP5_MP5.3_20_10.50"
MP5_MI_29sum	"MP5_MP5.3_20_50.200"
MP5_NP_22	"MP5_MP5.3_300_0.4.3"
MP5_NP_16	"MP5_MP5.3_300_3.10"
MP5_MI_24	"MP5_MP5.3_300_10.50"
MP5_MI_23	"MP5_MP5.3_300_50.200"
MP5_MI_18sum	"MP5_MP5.3_net_10.50"
MP5_MI_17	"MP5_MP5.3_net_50.200"
MP5_NP_59sum	"MP5_MP5.4_20_0.4.3"
MP5_NP_53	"MP5_MP5.4_20_3.10"
MP5_MI_42	"MP5_MP5.4_20_10.50"
MP5_MI_41	"MP5_MP5.4_20_50.200"
MP5_NP_47	"MP5_MP5.4_1000_0.4.3"
MP5_NP_41	"MP5_MP5.4_1000_3.10"
MP5_MI_36sum	"MP5_MP5.4_1000_10.50"
MP5_MI_35	"MP5_MP5.4_1000_50.200"
