Divisionlong	col
Centroheliozoa	#F2F318
Cercozoa	#766C95
Chlorophyta	#783FC1
Choanoflagellida	#02AD24
Ciliophora	#004CFF
Cryptophyta	#FF0000
Dinoflagellata_Dinophyceae	#1F9698
Dinoflagellata_Syndiniales	#C8FF00
Haptophyta	#00FF00
Katablepharidophyta	#FFACFD
Ochrophyta_Bacillariophyta	#886C00
Ochrophyta_Dictyochophyceae	#000033
Ochrophyta_Pelagophyceae	#B1CC71
Opalozoa	#FFB79F
Picozoa	#FF00B6
Pseudofungi	#F1085C
Radiolaria	#858567
Sagenista	#005300	
Other	grey
